Comment,Sentiment
Head to http://brilliant.org/TinaHuang/ to get started for free with Brilliant's interactive lessons with 20% off an annual membership.,0.5106
"Do it yourself 
Belive u  can",0.0
"Highlight  :1
Rereading 
Note taking 
2:  familiarity effect
3 attempt diffrent types of questions or change diffrent subjects after one another instead of studying the same for hours 
4: multiple small test",0.34
Nice,0.4215
"1 a. Rereading/highlighting is most effective
1 b. Learning in clusters is most effective
1 c. Take the path of least resistance when learning will be most effective
2. Familiarity does not = learning
3. Learing 2 subjects in one day rather than separating it into different days
4. Multiple small test",0.8801
Interleaving is basically the secret funnel for learning—mixing skills like stacking offers keeps knowledge durable! 🔥,0.4389
"It would be helpful if you could add timestamps to this video! I wanted to revisit a specific part, but it was hard to find. Thanks for the video!",0.6941
"Rereading, taking notes, highlighting 
Familiarity trap
Mix different king of questions 
Multiple small tests",-0.3182
"At first, search study materials like notes then ask other if they can mentor or not. Then use priming technique and try to understand some basics of ai. Then test yourself over and over again.
And on the other hand, Growth mindset means the ability to listen, understand and think about the topic very well and understand it very basely.",0.8999
"1.Hightlighting,re-reading & note taking
2.That they know the subject better but they are familiar with it only 
3.But dividing my study time into multiple subject instead of one subject today
4.I think small test like quiz is better than big test like essay or others. Because it makes easy to answer but difficult to understand",0.9169
"*TEST 01*

Ans 1) Three common learning misconceptions:

1. Practicing without any break 
2. Re-reading
3. Highlighting


Answer 2) Familiarity Trap (when highlighting or re-reading)


Answer 3) Using Interleaving technique in my own studies:

• Day 01: Studying AI for 1hr + Analytical quizzes for 1hr + Maths for 1hr

• Day 02: Studying Psychology for 1hr + Marketing for 1hr + AI for 1hr


Ans 4) Multiple small tests.

(This has actually helped me score 97% percentage in my final exams as my subject teacher used to take weekly exams throughout the year <3)

P.S. I tried 🥲. The first question was hard.


*TEST 02*

Ans 1) Practicing by ourselves

And 2) According to meㅡgrowth mindset is about keep learning things even if we don't see results immediately, and keep working on the mistakes rather then giving up. (idk this what I think, and it's true in my case ༎ຶ⁠‿⁠༎ຶ)",-0.0
Thank you very much :),0.6983
"Spaced repetition with visuals, kinesthetics, audials mixed",0.0
Could you olease do a analytical course?,0.0
I have a visual and tactile memory so writing notes and rereading are the most helpful for me because i can see the notes i wrote and where i was when i wrote them and thats how it starts to stick to my memory.,0.4754
"1- highlighting - rereading- note taking 

2- familiarity trap

3-you can use it by studying a 1 hour of math then a 1 hour of biology instead of 2 hours only for math 

4- multiple small tests",-0.3182
"I love reading but hate taking notes—too slow and messy to organize. I wish I could just speak my notes and have them automatically written and organized, wouldn't that be great?",-0.822
"1. Familiarity = Learning
Highlighting
Notetaking 

2. Familiarity
3. Mix and match
4. Multiple small tests",0.0
"learning has to be easy, practice a lot to learn... feel good learning doesn't means that you are really learning

Familiarity trap

studying courses of different topics the same day

Multiple small tests",0.5
Did you write this book with your pen name?,0.0
Book cover is good but could be better without the rectangle,0.7003
"Just a guess, but im betting she hasn't really spent a lot of time focused on her baseball swing.     Actually lost credibility there. Just regurgitating the book.",0.1154
"3 misconceptions: easier works better, taking notes good, learning in chunks
trap with highlighting and reading: familiarity.
interleaving: different disciplines over allocated time over one discipline per day.
Multiple small tests are better.",0.8481
Awesome!,0.6588
"First, great video so far!!
Second, Answers:
1. Thinking that learning can be fast / Knowledge vs Familiarity
2. they get familiar but think that they learned something
3. Instead of finishing learning something and then start another topic, I can divide my learning time to contain multiple topics.
4. multiple small tests.

other quiz
1. first start generating solution for certain problems yourself and then get started with learning the core concepts.
2. Growth mindset is to not accept the idea that only genetics can dictate if you're going to be a better learner, and that learning can be a skill that you get better at.",0.9261
Please keep Hong Kong free from the CCP rule. Don't let them take over Hong Kong!!!!,0.7762
great video! love the editing,0.8622
"Highlighting, re-reading and taking notes are how I've always learned. I'm extremely surprised they're among the bad techniques. Should I just burn all my notebooks then? 😆",-0.3197
"Answers to your questions 
1. ReReading, highlighting, not sure about 3rd one
2. Familiarity trap
3. Mix the topics while studying aka study different unrelated topics in your study hours
4. Multiple small tests are better

Answer to final quiz
1. Best way to learn AI is by trying or building stuff from scratch
2. Growth mindset is the belief that a person can learn new skills with proper practice over time and become better at it",0.8533
"misconceptions : we are not good judges of learning for ourselves 
familiarization trap is real 
when its hard its better always 🤣

familiarity trap 

study 2-3 subjects a day fkr some time instead of one whole
 multiple small tests",-0.5432
Aw yes learning to learn,0.4019
"The best way to learn AI is through practice (ur Ai course for ex 🫵🏼😌 )
U can improve ur intelligence and learning skills)",0.8807
"*1 familiarity trap 2 thinking u are a good judge of how well you learned 3t he beginner loop 4 thinking learning should be easy 
*The familiarity trap cuz they get used to seeing the information that they think they’ve internalized it but they didn’t 
*You can study two subjects over two days instead of studying only one subject each day 
*Multiple small tests are better cuz the immunise students against forgetting and learning gaps",0.7184
"Currently reading Limitless by Jim Kwik and that too describes learning in a similar pattern, both are quite effective.",0.5256
I'm going to mention a strategy that nobody does that I think is effective and kind of fun. Power nap for like 20 minutes and an alarm to wake you up then just cram.,0.7357
"The best way to learn AI is by doing it. 
A growth mindset is an I can do it mindset.",0.7783
"#1 learning is supposed to be easy, 
#2 familiarity trap
#3 mix and match whatever I am studying for example I am currently studying data analytics with SQL and business analysis. I can mix and match my study time for both in a day rather than studying them separately on each day. 
#4 multiple small test is better",0.5423
"Misconceptions: we are not good at telling when we are actually learning. When learning feels harder, that’s when it “lasts” longer. 
The trap people fall into when highlighting is “familiarity”. 
You can use interleaving through learning 2 different subjects for 2 hours each, vs one subject for 4 hours 
Multiple tests are better",-0.2037
"What you mentioned about teaching other people concepts that you're trying to learn is actually called the Feynman technique. Basically, if you can simply complex concepts into digestible information that even a child can wrap its head around it, then you have a solid understanding of that topic.
 
It's so effective because it forces you to confront gaps in your knowledge, which you can then shore up by revisiting your notes. Stumbled across the technique years ago and it stayed with me since. 

It also reminds me of that Son of Man lyrics (Tarzan) saying ""In learning you will teach, and in teaching you will learn.""",0.5982
Been watching you for three years. You had inspired me and given me courage to learn programming.,0.7506
"1. learning is NOT easy. (It was #2)
(the other 2, well I had to go back 🥲 and rewatch: they were #1 people are not good at self-evaluating ability to learn and #3 ""practice makes perfect"")
2. familiarity trap
3. (Not sure) Alternating between subjects or skills during a day, or a study session leads to higher efficiency and more effectiveness in learning. (My definition of interleaving)
4. Multiple small tests (spaced out) lead to better long term retention.",0.3995
Brilliant tips! What you said: allow yourself to get a little bit rusty. This technique changed my life in the past 12 months!,0.7418
"Question, if you have a limited time, say 1-2 hours per day. Would you still interleave your studies or better to just have 1 focus block of 1-2 hours one day for one topic and then another topic the next day?",-0.2263
Do you think I need to learn genrative ai before I can build ai agents?,0.0
"familiarity
multiple small test",0.0
"highlighting, re-reading,craming'",0.0
LOL,0.4215
I'm gonna buy the book now you have a made a video,0.0
"After listening to the audiobook Remember It by Nelson Dellis I got very excited with this topic and went on and bought me my copy of Make It Stick, sadly it's been laying alone on my bookshelf untouched, but after listening to your take about it I will definitely go and read it right now. Thank you, Tina!!!",0.7977
"League of Legends 🥲 Remember not to log in on February 28th as a sign of protest (I do not even know, why am I writing this)",-0.25
"This one helps me a lot:
For every paragraph you read, at the end try to summarize the paragraph into 3 words, without looking at the content. 
Then at the end of each section, make a 1 sentence summary of the section.",0.4404
"-that you are Not learning If you feel stuck, that you are learning when in fact it just starts to feel familiar and third that things are easier to learn if you cluster them 
-it is too easy therefore you don’t actually learn and only get familiar 
-learn your subjects in turns, not in big humps
-small testing",0.5719
The Best Way 2 Learn AI Is By Applying What Is Learnt 😊😊😊😊😊😊,0.6369
There R A Multitude of Learning Strategies So It All Dependz On What Actually Works 4 Me 😊😊😊😊😊,0.0
Great video! Fantastic book!,0.8513
"summarizing note taking cramming 
copy and pasting over taking the use of your own words is one of the major reasons 
using different methods of information consumption in an intertwined way.. read listen write 
multiple small test .",0.0
"really interesting and helpful vid and a  best camera-lightning setup so far , great to see as you improve as well",0.9619
